sku,description,product_line,list_price,distributor_price,effective_date,uom
AL-XHHW2-6,6 AWG Aluminum XHHW-2 Stranded 600V,Aluminum XHHW,0.2450,0.1960,2025-01-01,FT
AL-XHHW2-4,4 AWG Aluminum XHHW-2 Stranded 600V,Aluminum XHHW,0.3180,0.2544,2025-01-01,FT
AL-XHHW2-2,2 AWG Aluminum XHHW-2 Stranded 600V,Aluminum XHHW,0.4920,0.3936,2025-01-01,FT
AL-XHHW2-1,1 AWG Aluminum XHHW-2 Stranded 600V,Aluminum XHHW,0.6210,0.4968,2025-01-01,FT
AL-XHHW2-10,1/0 AWG Aluminum XHHW-2 Stranded 600V,Aluminum XHHW,0.7840,0.6272,2025-01-01,FT
AL-XHHW2-20,2/0 AWG Aluminum XHHW-2 Stranded 600V,Aluminum XHHW,0.9870,0.7896,2025-01-01,FT
AL-XHHW2-30,3/0 AWG Aluminum XHHW-2 Stranded 600V,Aluminum XHHW,1.2450,0.9960,2025-01-01,FT
AL-XHHW2-40,4/0 AWG Aluminum XHHW-2 Stranded 600V,Aluminum XHHW,1.5680,1.2544,2025-01-01,FT
AL-XHHW2-250,250 kcmil Aluminum XHHW-2 Stranded 600V,Aluminum XHHW,1.8920,1.5136,2025-01-01,FT
AL-XHHW2-350,350 kcmil Aluminum XHHW-2 Stranded 600V,Aluminum XHHW,2.6450,2.1160,2025-01-01,FT
AL-XHHW2-500,500 kcmil Aluminum XHHW-2 Stranded 600V,Aluminum XHHW,3.7840,3.0272,2025-01-01,FT
AL-XHHW2-750,750 kcmil Aluminum XHHW-2 Stranded 600V,Aluminum XHHW,5.6210,4.4968,2025-01-01,FT
AL-SER-100,1-1-1-3 Aluminum SER Service Entrance,Aluminum Service,1.4200,1.1360,2025-01-01,FT
AL-SEU-200,2/0-2/0-1 Aluminum SEU Service Entrance,Aluminum Service,2.1800,1.7440,2025-01-01,FT
AL-SEU-400,4/0-4/0-2/0 Aluminum SEU 400A Entrance,Aluminum Service,3.9500,3.1600,2025-01-01,FT
CU-SOOW-12-2,12/2 Copper SOOW Portable Cord 600V,Copper SOOW,0.5400,0.4320,2025-01-01,FT
CU-SOOW-12-3,12/3 Copper SOOW Portable Cord 600V,Copper SOOW,0.6800,0.5440,2025-01-01,FT
CU-SOOW-10-3,10/3 Copper SOOW Portable Cord 600V,Copper SOOW,0.9200,0.7360,2025-01-01,FT
CU-SOOW-8-3,8/3 Copper SOOW Portable Cord 600V,Copper SOOW,1.4600,1.1680,2025-01-01,FT
CU-SOOW-6-3,6/3 Copper SOOW Portable Cord 600V,Copper SOOW,2.1800,1.7440,2025-01-01,FT
CU-SOOW-6-4,6/4 Copper SOOW Portable Cord 600V,Copper SOOW,2.8500,2.2800,2025-01-01,FT
CU-EXT-14-3-25,14/3 25ft Copper Extension Cord SJTW,Copper Extension,12.9500,10.3600,2025-01-01,CUT
CU-EXT-14-3-50,14/3 50ft Copper Extension Cord SJTW,Copper Extension,18.9500,15.1600,2025-01-01,CUT
CU-EXT-12-3-50,12/3 50ft Copper Extension Cord SJTW,Copper Extension,24.9500,19.9600,2025-01-01,CUT
CU-EXT-12-3-100,12/3 100ft Copper Extension Cord SJTW,Copper Extension,42.9500,34.3600,2025-01-01,CUT
AL-URD-2,2 AWG Aluminum URD Underground 600V,Aluminum URD,0.3850,0.3080,2025-01-01,FT
AL-URD-1,1 AWG Aluminum URD Underground 600V,Aluminum URD,0.4920,0.3936,2025-01-01,FT
AL-URD-20,2/0 AWG Aluminum URD Underground 600V,Aluminum URD,0.7840,0.6272,2025-01-01,FT
AL-URD-40,4/0 AWG Aluminum URD Underground 600V,Aluminum URD,1.2450,0.9960,2025-01-01,FT
